债券简称,债券代码,正股代码,上市时间,现价,今开,振幅,最高,最低,昨收,成交量,成交额
石英转债,113548,754688,2019-10-28T00:00:00,144.82,148.6,566.0%,151.0,142.6,148.49,19055,27902652.0
浦发转债,110059,733000,2019-10-28T00:00:00,106.43,106.48,10.0%,106.54,106.43,106.48,87980,93666285.0
天路转债,110060,733326,2019-10-28T00:00:00,120.16,119.64,900.0%,129.5,118.72,119.76,122484,150504601.0
北方转债,127014,070065,2019-10-24T00:00:00,400.0,0.0,0.0%,0.0,0.0,400.0,0,0.0
索发转债,113547,754612,2019-10-24T00:00:00,116.82,118.96,209.0%,118.96,116.5,117.55,1389,1628052.0
迪贝转债,113546,754320,2019-10-23T00:00:00,112.64,117.28,572.0%,117.66,111.0,116.49,73026,83673748.0
太极转债,128078,072368,2019-10-21T00:00:00,1436.5,1438.96,242.0%,1460.0,1425.0,1445.14,14234,20574456.0
英联转债,128079,072846,2019-10-21T00:00:00,1626.01,1877.0,1434.0%,1887.97,1621.27,1859.9,399999,688780240.0
华夏转债,128077,072928,2019-10-16T00:00:00,1269.0,1288.0,163.0%,1289.0,1267.94,1289.5,10358,13224133.0
金轮转债,128076,072722,2019-10-14T00:00:00,1102.4,1134.6,458.0%,1143.0,1090.9,1137.8,49795,55284364.0
金能转债,113545,754113,2019-10-14T00:00:00,109.98,109.71,72.0%,110.5,109.71,109.8,14516,15947596.0
万里转债,123032,370591,2019-10-11T00:00:00,1230.0,1336.99,1223.0%,1366.02,1204.01,1324.8,549469,706589904.0
远东转债,128075,072406,2019-09-23T00:00:00,1172.0,1198.5,239.0%,1198.5,1170.1,1188.3,23439,27564471.0
游族转债,128074,072174,2019-09-23T00:00:00,1357.7,1380.01,224.0%,1386.0,1355.1,1377.0,22965,31359603.0
桃李转债,113544,754866,2019-09-20T00:00:00,127.43,127.73,63.0%,128.0,127.2,127.98,7779,9931039.0
晶瑞转债,123031,370655,2019-08-29T00:00:00,2690.0,2947.0,2585.0%,3110.0,2350.33,2939.0,569774,1650384848.0
哈尔转债,128073,072615,2019-08-22T00:00:00,1147.01,1190.0,585.0%,1194.9,1125.6,1184.0,262389,304714400.0
九洲转债,123030,370040,2019-08-20T00:00:00,1240.0,1290.0,1096.0%,1364.0,1222.22,1294.0,658902,857649264.0
