,债券简称,正股代码,上市时间,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
229,江银转债,2807,2018-02-14T00:00:00,2807,江阴银行,4.18,0.48%,0.01,35419,14780279.0,0.48%,4.18,4.16,4.18,4.17,0.9
230,江银转债,2807,2018-02-14T00:00:00,2807,江阴银行,4.18,0.48%,0.01,35419,14780279.0,0.48%,4.18,4.16,4.18,4.17,0.9
231,道氏转债,300409,2018-01-26T00:00:00,300409,道氏技术,11.22,1.5%,-0.08,18856,21260862.0,1.5%,11.37,11.2,11.32,11.3,0.75
232,道氏转债,300409,2018-01-26T00:00:00,300409,道氏技术,11.22,1.5%,-0.08,18857,21261984.0,1.5%,11.37,11.2,11.32,11.3,0.75
233,吉视转债,601929,2018-01-15T00:00:00,601929,吉视传媒,2.06,1.44%,-0.02,52574,10839881.0,1.44%,2.08,2.05,2.07,2.08,1.03
234,吉视转债,601929,2014-09-25T00:00:00,601929,吉视传媒,2.06,1.44%,-0.02,52574,10839881.0,1.44%,2.08,2.05,2.07,2.08,1.03
235,迪龙转债,2658,2018-01-29T00:00:00,2658,雪迪龙,6.12,0.99%,0.04,5888,3587257.0,0.99%,6.13,6.07,6.09,6.08,1.05
236,迪龙转债,2658,2018-01-29T00:00:00,2658,雪迪龙,6.11,0.99%,0.03,5893,3590312.0,0.99%,6.13,6.07,6.09,6.08,1.04
237,迪龙转债,2658,2018-01-29T00:00:00,2658,雪迪龙,6.11,0.99%,0.03,5893,3590312.0,0.99%,6.13,6.07,6.09,6.08,1.04
238,航电转债,600372,2018-01-15T00:00:00,600372,中航电子,13.7,2.44%,0.2,49683,67668494.0,2.44%,13.76,13.43,13.55,13.5,1.96
239,航电转债,600372,2018-01-15T00:00:00,600372,中航电子,13.68,2.44%,0.18,49731,67734158.0,2.44%,13.76,13.43,13.55,13.5,1.96
240,双环转债,2472,2018-01-25T00:00:00,2472,双环传动,5.54,5.62%,-0.33,312778,177219191.0,5.62%,5.85,5.52,5.85,5.87,1.52
241,蒙电转债,600863,2018-01-09T00:00:00,600863,内蒙华电,2.58,1.56%,0.02,55741,14360617.0,1.56%,2.59,2.55,2.55,2.56,0.72
242,蒙电转债,600863,2018-01-09T00:00:00,600863,内蒙华电,2.58,1.56%,0.02,55741,14360617.0,1.56%,2.59,2.55,2.55,2.56,0.72
243,蒙电转债,600863,2018-01-09T00:00:00,600863,内蒙华电,2.57,1.56%,0.01,56075,14446517.0,1.56%,2.59,2.55,2.55,2.56,0.71
244,蒙电转债,600863,2018-01-09T00:00:00,600863,内蒙华电,2.56,1.56%,0.0,56241,14489031.0,1.56%,2.59,2.55,2.55,2.56,0.71
245,蒙电转债,600863,2018-01-09T00:00:00,600863,内蒙华电,2.56,1.56%,0.0,56241,14489031.0,1.56%,2.59,2.55,2.55,2.56,0.7
246,太阳转债,2078,2018-01-16T00:00:00,2078,太阳纸业,8.34,3.17%,-0.17,157987,132545914.0,3.17%,8.57,8.3,8.55,8.51,1.0
247,铁汉转债,300197,2018-01-26T00:00:00,300197,铁汉生态,2.99,2.93%,-0.08,241164,72699214.0,2.93%,3.07,2.98,3.07,3.07,0.67
