,con,hot,id,name,room
119,英雄联盟,41.1万,/232561,斗鱼浪子彦,国服老刘备日常带人五排
120,电台,22.3万,/6306934,念言wzz,S4五星开包之王—死鱼ysy
121,跑跑手游,22.2万,/42004,丶田鸡,云顶小天才! 今天不搞笑!认真上分教学!
122,跑跑手游,22.1万,/64593,钟祥思奇,高颜声酥钢枪王
123,天涯明月刀,22.1万,/447646,腾讯活动专用直播间,官人里面请 6862507
124,二次元,22.1万,/500519,骚乖可爱宝贝朴,您的暑假已过半 晚上玩游戏
125,二次元,22万,/3276456,贝拉小姐姐,芹泽：我你妹的，终于也是有樱木的人了~
126,颜值,22万,/5515841,喵小莎,【交友】由浣熊哥独家冠名
127,QQ飞车,21.9万,/4298793,DY丶皮皮炸,【喵十七】听说这是个后宫游戏
128,QQ飞车,21.8万,/3219235,青青青青青青山,牛家村:八月 加油!
129,和平精英,21.8万,/1380899,皮西蒙丷,来自广东的新人蛋
130,穿越火线,21.6万,/212123,战颜贝,【直播】一首歌~一个故事~
131,王者荣耀,21.5万,/5355695,雪碧丶国一狄仁杰,田鸡: 每天21点教学。扫盲
132,王者荣耀,21.4万,/3361877,AQ丶果粒,思奇：今晚20点车队赛
133,CS:GO,21.3万,/1747489,毛子Reckless,天涯明月刀剑荡八荒线下总决赛-重播
134,王者荣耀,21.3万,/5094760,青鸾少年云天河,上海大型户外直播
135,马里奥制造,21.2万,/510541,KazeLink,大家晚上好 3276456
136,绝地求生,21.1万,/5720533,邦Sa,晚上七点见 5515841
137,王者荣耀,20.9万,/6391754,婷儿Sweet,100台 不抽完不下播
138,魔兽世界,20.9万,/3475426,菓苒,追光上线！！！
139,一起看,20.9万,/323876,Rainsunn,皇冠1v99之终极100%怪枪压
140,交友,20.9万,/6343035,君悦一浮生若梦,26岁了老了老了
141,绝地求生,20.7万,/4533511,天赐解说丷,一飞机王者，国服狄仁杰，带粉五排
142,乡野,20.7万,/757122,川味箩卜,❤天才女玩家上星如人机❤
143,王者荣耀,20.6万,/221741,渝万五百狸子3岁,Maozera ^^.!.
144,电台,20.4万,/4643091,妍子姑娘,性感太后在线飞升~
145,和平精英,20.4万,/718642,1121丶六神弟弟,马力欧-Link 技术主播没有GG
146,DOTA2,20.4万,/2020877,颜素susu,暴走单人4排全网最逗最激情单口相声吃鸡
147,怀旧游戏,20.4万,/6480619,罗马协会,露娜李白：打野小姐姐微信区带粉中~~~
148,绝地求生,20.3万,/145183,阿扎y,点击领取一盘干菓
149,王者荣耀,20.3万,/5297545,言小七i,【小宇尬舞】科幻 灾难 动作 喜剧 电影
150,一起看,20.2万,/875795,丿Lucky雪儿,【交友】由yu哥和4444联手冠名
151,交友,20.1万,/6893208,曙光一刷拉女友,超级战术大师  最强4K画质
152,交友,20.1万,/6832569,广娱一极致声诱,无限连麦PK！！
153,魔兽争霸,20万,/259057,ForeverTED,曜巅峰赛屠杀 带粉乔晴子一条
154,王者荣耀,20万,/6499690,国宝佳悦,直/七月有风 八月有我
155,舞蹈,20万,/4917762,lone考拉,训练赛训练赛11点抽500！
156,一起看,19.9万,/6992548,浅浅是只兔OvO,周四晚上8点见~聊聊方言~
157,交友,19.9万,/7191261,风悦一魅语倾城,中越现场职业联赛
158,进击的巨人,19.9万,/217331,尐表哥,永不换号 冲分 目前29名
159,角色扮演,19.8万,/5095833,Biu雷哥616,国服第一骚猴   一周年快乐
160,一起看,19.8万,/122402,进击の神乐,【雪儿】陪你重温经典电影
161,英雄联盟,19.8万,/93912,黑白锐雯,【交友】收优质女主持/歌手/模特
162,绝地求生,19.6万,/4926024,十月大魔王呀,【交友】招冠名，优质主持。
163,交友,19.6万,/817078,嗨玩一少女心事,TED 晚上7点斗鱼杯擂主赛
164,颜值,19.5万,/4737991,阿泓小仙女,万战国一露娜
165,交友,19.4万,/7031146,王者一情有独钟,真人比封面好看系列
166,探灵笔记,19.4万,/414194,樂楽乐八幺九,浅浅⭐小诺澜陪你看经典
167,交友,19.3万,/6620304,王者一神仙姐姐,【交友】[炫迈嗯、蛋包饭]冠名
168,一起看,19.2万,/902379,可可酱m,老表：暗黑大天使真好玩！！
169,王者荣耀,19.1万,/5126167,宇宙最强段某某,【雷哥】Deceit STEAM 免费
170,颜值,18.9万,/6894627,刘大大的包子呀,【周星驰】星爷 喜剧之王 经典 电影
171,DOTA,18.8万,/5645739,a824683653,"黑白锐雯,钻石排位赛"
172,恐怖游戏,18.6万,/5074415,半支烟,十月：晚上7点比赛，最强女职业选手！
173,户外,18.5万,/280072,黑人毅,【交友】关注今晚八点美女活动
